rpm,theta_deg,theta_rad,pressure_pa,pressure_kpa,dpdtheta_pa_per_rad,mdot_engine_kg_s,mdot_restrictor_kg_s,v_demand_m3_s
6200.0,621.4797136038187,10.84686723673803,94855.82631793636,94.85582631793636,667.9935361730845,0.0,0.03376816361823793,0.0
6200.0,622.0525059665871,10.856864349398617,94862.50432457402,94.86250432457402,667.6739672136371,0.0,0.033752008885706,0.0
6200.0,622.6252983293556,10.866861462059205,94869.1791364448,94.8691791364448,667.3543459560199,0.0,0.03373585150941623,0.0
6200.0,623.1980906921242,10.876858574719794,94875.85075302585,94.87585075302584,667.0346724251347,0.0,0.03371969149062743,0.0
6200.0,623.7708830548926,10.88685568738038,94882.5191737946,94.8825191737946,666.7149466458881,0.0,0.033703528830598684,0.0
6200.0,624.3436754176611,10.89685280004097,94889.18439822872,94.88918439822872,666.3951686431868,0.0,0.03368736353058906,0.0
6200.0,624.9164677804296,10.906849912701556,94895.84642580613,94.89584642580613,666.0753384419455,0.0,0.03367119559185803,0.0
6200.0,625.4892601431981,10.916847025362145,94902.50525600497,94.90250525600497,665.7554560670765,0.0,0.033655025015664954,0.0
6200.0,626.0620525059666,10.926844138022734,94909.16088830367,94.90916088830367,665.4355215435062,0.0,0.033638851803269906,0.0
6200.0,626.6348448687351,10.93684125068332,94915.8133221809,94.9158133221809,665.1155348961546,0.0,0.033622675955932636,0.0
6200.0,627.2076372315036,10.94683836334391,94922.46255711556,94.92246255711557,664.7954961499516,0.0,0.033606497474913385,0.0
6200.0,627.7804295942722,10.956835476004498,94929.10859258682,94.92910859258683,664.475405329832,0.0,0.03359031636147265,0.0
6200.0,628.3532219570405,10.966832588665085,94935.7514280741,94.9357514280741,664.1552624607313,0.0,0.03357413261687096,0.0
6200.0,628.926014319809,10.976829701325673,94942.39106305705,94.94239106305704,663.8350675675922,0.0,0.03355794624236921,0.0
6200.0,629.4988066825777,10.986826813986262,94949.02749701557,94.94902749701558,663.5148206753606,0.0,0.03354175723922846,0.0
6200.0,630.071599045346,10.996823926646849,94955.66072942983,94.95566072942982,663.194521808983,0.0,0.03352556560870979,0.0
6200.0,630.6443914081145,11.006821039307438,94962.29075978024,94.96229075978025,662.8741709934134,0.0,0.033509371352074664,0.0
6200.0,631.2171837708831,11.016818151968026,94968.91758754746,94.96891758754747,662.5537682536108,0.0,0.03349317447058481,0.0
6200.0,631.7899761336515,11.026815264628613,94975.5412122124,94.97554121221239,662.2333136145352,0.0,0.033476974965501984,0.0
6200.0,632.36276849642,11.036812377289202,94982.1616332562,94.9821616332562,661.9128071011567,0.0,0.03346077283808847,0.0
6200.0,632.9355608591886,11.04680948994979,94988.77885016028,94.98877885016027,661.5922487384387,0.0,0.033444568089606226,0.0
6200.0,633.508353221957,11.056806602610378,94995.39286240628,94.99539286240628,661.2716385513603,0.0,0.03342836072131796,0.0
6200.0,634.0811455847255,11.066803715270966,95002.00366947614,95.00200366947614,660.9509765648957,0.0,0.03341215073448617,0.0
6200.0,634.653937947494,11.076800827931553,95008.61127085198,95.00861127085199,660.6302628040274,0.0,0.03339593813037377,0.0
6200.0,635.2267303102625,11.086797940592142,95015.21566601623,95.01521566601623,660.3094972937436,0.0,0.03337972291024393,0.0
6200.0,635.7995226730311,11.09679505325273,95021.81685445154,95.02181685445153,659.9886800590326,0.0,0.03336350507535988,0.0
6200.0,636.3723150357995,11.106792165913317,95028.4148356408,95.0284148356408,659.6678111248896,0.0,0.03334728462698514,0.0
6200.0,636.945107398568,11.116789278573906,95035.00960906717,95.03500960906717,659.3468905163121,0.0,0.0333310615663834,0.0
6200.0,637.5178997613366,11.126786391234495,95041.60117421407,95.04160117421407,659.025918258303,0.0,0.03331483589481858,0.0
6200.0,638.090692124105,11.136783503895082,95048.18953056514,95.04818953056514,658.7048943758674,0.0,0.033298607613554736,0.0
6200.0,638.6634844868735,11.14678061655567,95054.77467760429,95.05477467760429,658.3838188940174,0.0,0.03328237672385627,0.0
6200.0,639.2362768496421,11.156777729216259,95061.35661481568,95.06135661481568,658.0626918377667,0.0,0.033266143226987656,0.0
6200.0,639.8090692124105,11.166774841876846,95067.93534168371,95.06793534168371,657.7415132321321,0.0,0.03324990712421355,0.0
6200.0,640.381861575179,11.176771954537434,95074.51085769304,95.07451085769304,657.4202831021389,0.0,0.03323366841679901,0.0
6200.0,640.9546539379476,11.186769067198023,95081.08316232856,95.08108316232857,657.0990014728112,0.0,0.03321742710600905,0.0
6200.0,641.527446300716,11.19676617985861,95087.65225507545,95.08765225507544,656.7776683691809,0.0,0.03320118319310907,0.0
6200.0,642.1002386634844,11.206763292519199,95094.21813541908,95.09421813541908,656.4562838162816,0.0,0.03318493667936456,0.0
6200.0,642.673031026253,11.216760405179787,95100.78080284514,95.10078080284514,656.1348478391548,0.0,0.03316868756604142,0.0
6200.0,643.2458233890214,11.226757517840374,95107.34025683952,95.10734025683952,655.8133604628413,0.0,0.033152435854405485,0.0
6200.0,643.81861575179,11.236754630500963,95113.8964968884,95.1138964968884,655.4918217123831,0.0,0.033136181545722676,0.0
6200.0,644.3914081145584,11.24675174316155,95120.44952247814,95.12044952247814,655.1702316128396,0.0,0.0331199246412598,0.0
6200.0,644.9642004773269,11.256748855822138,95126.99933309545,95.12699933309544,654.8485901892606,0.0,0.033103665142283134,0.0
6200.0,645.5369928400955,11.266745968482727,95133.54592822719,95.13354592822719,654.5268974667036,0.0,0.03308740305005941,0.0
